Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Market Capitalisation (Rs. Cr.)
523289,Rama Vision Ltd,RAMAVISION,RAMA VISION LTD.,Active,XT,10.0,INE763B01013,Trading & Distributors,57.88
523301,TCPL Packaging Limited,TCPLPACK,TCPL PACKAGING LTD.-$,Active,B,10.0,INE822C01015,Packaging,1679.13
523309,Shri Gang Industries & Allied Products Limited,SHRIGANG,SHRI GANG INDUSTRIES AND ALLIED PRODUCTS LTD.,Active,XT,10.0,INE241V01018,Edible Oil,205.57
523315,Purity Flex Pack Ltd,PURITY,PURITY FLEX PACK LTD.,Active,P,10.0,INE898O01010,Paper & Paper Products,0.16
523319,"Balmer Lawrie & Co. Ltd.,",BALMLAWRIE,BALMER LAWRIE & CO.LTD.,Active,B,10.0,INE164A01016,Diversified,2601.82
523323,Kovai Medical Center & Hospital Ltd,KOVAI,KOVAI MEDICAL CENTER & HOSPITAL LTD.,Active,B,10.0,INE177F01017,Hospital,2953.54
523329,"Eldeco Housing & Ind. Ltd.,",ELDEHSG,ELDECO HOUSING & INDUSTRIES LTD.,Active,B,2.0,INE668G01021,Residential- Commercial Projects,713.33
523343,"Microse India Limited,",MICROSE,MICROSE INDIA LTD.,Active,XT,10.0,INE809F01015,Non Banking Financial Company (NBFC),
523351,Standard Shoe Sole and Mould (India) Ltd,STDSHOE,STANDARD SHOE SOLE AND MOULD (INDIA) LTD.,Active,P,10.0,INE888N01013,Specialty Chemicals,3.4
523367,DCM Shriram Limited,DCMSHRIRAM,DCM Shriram Limited,Active,A,2.0,INE499A01024,Diversified,15003.47
523369,"DCM Shriram Industries Ltd.,",DCMSRMIND,DCM SHRIRAM INDUSTRIES LTD.-$,Active,B,2.0,INE843D01027,Sugar,1148.73
523371,Mawana Sugars Ltd,MAWANASUG,MAWANA SUGARS LTD.,Active,B,10.0,INE636A01039,Sugar,385.3
523373,Mini Diamonds (India) Ltd.,MINID,MINI DIAMONDS (INDIA) LTD.,Active,XT,10.0,INE281E01010,Gems- Jewellery And Watches,6.43
523384,Maha Rashtra Apex Corporation Ltd,MAHAPEXLTD,MAHA RASHTRA APEX CORPORATION LTD.,Active,T,10.0,INE843B01013,Other Financial Services,184.94
523385,Nilkamal Limited,NILKAMAL,NILKAMAL LTD.,Active,B,10.0,INE310A01015,Plastic Products - Consumer,3505.45
523387,Triton Corp. Ltd.,TRITON,TRITON CORP.LTD.,Active,XT,1.0,INE982C01033,Gems- Jewellery And Watches,8.0
523391,Nahar Polyfilms Ltd.,NAHARPOLY,NAHAR POLYFILMS LTD.,Active,B,5.0,INE308A01027,Packaging,598.47
523395,3M India Ltd.,3MINDIA,3M INDIA LTD.,Active,A,10.0,INE470A01017,Diversified,34300.79
523398,Johnson Controls-Hitachi Air Conditioning India Ltd.,JCHAC,Johnson Controls-Hitachi Air Conditioning India Ltd,Active,A,10.0,INE782A01015,Household Appliances,3383.23
523405,JM Financial Limited,JMFINANCIL,JM FINANCIAL LTD.-$,Active,A,1.0,INE780C01023,Investment Company,7309.41
523411,ADC India Communications Limited,ADCINDIA,ADC India Communications Limited-$,Active,X,10.0,INE833A01016,Telecom -  Equipment & Accessories,346.08
523419,"Tamilnadu Telecommunications Ltd.,",TNTELE,TAMILNADU TELECOMMUNICATIONS LTD.,Active,T,10.0,INE141D01018,Telecom -  Equipment & Accessories,35.91
523425,Sunraj Diamond Exports Ltd.,SUNRAJDI,SUNRAJ DIAMOND EXPORTS LTD.,Active,XT,10.0,INE459D01014,Gems- Jewellery And Watches,3.93
523445,Reliance Industrial Infrastructure,RIIL,RELIANCE INDUSTRIAL INFRASTRUCTURE LTD.,Active,A,10.0,INE046A01015,Logistics Solution Provider,1529.33
523449,Sharp India Ltd,SHARP,SHARP INDIA LTD.,Active,X,10.0,INE207B01011,Consumer Electronics,141.32
523457,Linde India Limited,LINDEINDIA,Linde India Limited,Active,A,10.0,INE473A01011,Industrial Gases,50913.4
523465,Ind Bank Housing Ltd,INDBNK,IND BANK HOUSING LTD.,Active,B,10.0,INE969D01012,Housing Finance Company,32.19
523467,"Jai Mata Glass Ltd.,",JAIMATAG,JAI MATA GLASS LTD.,Active,XT,1.0,INE250C01027,Other Construction Materials,15.8
523475,"Lotus Chocolate Co. Ltd.,",LOTUSCHO,LOTUS CHOCOLATE CO.LTD.,Active,XT,10.0,INE026D01011,Packaged Foods,385.49
523483,Pacific Industries ltd.,PACIFICI,PACIFIC INDUSTRIES LTD.,Active,XT,10.0,INE883C01025,Granites & Marbles,97.19
523489,Chennai Meenakshi Multispeciality Hospital Ltd.,CMMHOSP,CHENNAI MEENAKSHI MULTISPECIALITY HOSPITAL LTD.-$,Active,X,10.0,INE889F01017,Healthcare Service Provider,20.81
523519,Universal Office Automation Limited,UNIOFFICE,UNIVERSAL OFFICE AUTOMATION LTD.,Active,XT,10.0,INE951C01012,Trading & Distributors,5.8
523537,"APM Industries Ltd.,",APMIN,APM INDUSTRIES LTD.-$,Active,X,2.0,INE170D01025,Other Textile Products,103.15
523539,"Precision Wires India ltd.,",PRECWIRE,PRECISION WIRES INDIA LTD.,Active,B,1.0,INE372C01037,Aluminium- Copper & Zinc Products,1700.82
523550,Krypton Industries Ltd,KRYPTONQ,KRYPTON INDUSTRIES LTD.,Active,X,10.0,INE951B01014,Diversified,34.95
523558,SWISS MILITARY CONSUMER GOODS LIMITED,SWISSMLTRY,Swiss Military Consumer Goods Ltd,Active,X,2.0,INE010C01025,Diversified consumer products,339.32
523566,Martin Burn Ltd,MARBU,MARTIN BURN LTD.,Active,X,10.0,INE199D01016,Residential- Commercial Projects,19.69
523574,Future Enterprises Limited,FEL,Future Enterprises Ltd,Active,Z,2.0,INE623B01027,Diversified Retail,40.03
523586,"Indian Toners & Developers Ltd.,",INDTONER,INDIAN TONERS & DEVELOPERS LTD.-$,Active,X,10.0,INE826B01018,Specialty Chemicals,335.7
523594,"Kunststoffe Industries Ltd.,",KUNSTOFF,KUNSTSTOFFE INDUSTRIES LTD.,Active,X,10.0,INE638D01021,Plastic Products - Industrial,17.63
523598,Shipping Corporation Of India Ltd,SCI,SHIPPING CORPORATION OF INDIA LTD.,Active,A,10.0,INE109A01011,Shipping,5866.74
523606,"Sika Interplant Systems Ltd.,",SIKA,SIKA INTERPLANT SYSTEMS LTD.,Active,XT,10.0,INE438E01016,Aerospace & Defense,530.95
523610,ITI Limited (Indian Teleph.Ind.Ltd),ITI,ITI LTD.,Active,A,10.0,INE248A01017,Telecom -  Equipment & Accessories,11324.05
523618,"Dredging Corporation of India Ltd.,",DREDGECORP,DREDGING CORPORATION OF INDIA LTD.,Active,B,10.0,INE506A01018,Dredging,1457.68
523620,Phaarmasia Limited.,PHRMASI,PHAARMASIA LTD.,Active,XT,10.0,INE486I01016,Pharmaceuticals,17.18
523628,Poddar Housing and Development Limited,PODDAR,Poddar Housing and Development Ltd,Active,T,10.0,INE888B01018,Residential- Commercial Projects,56.21
523630,"National Fertilizers Ltd.,",NFL,NATIONAL FERTILIZERS LTD.,Active,A,10.0,INE870D01012,Fertilizers,3318.76
523638,"IP Rings Ltd.,",IPRINGLTD,IP RINGS LTD.-$,Active,XT,10.0,INE558A01019,Auto Components & Equipments,183.8
523642,PI Industries Limited,PIIND,PI Industries Ltd,Active,A,1.0,INE603J01030,Pesticides & Agrochemicals,55095.68
523648,Plastiblends India Ltd.,PLASTIBLEN,PLASTIBLENDS INDIA LTD.-$,Active,B,5.0,INE083C01022,Specialty Chemicals,612.7
523650,YASH INNOVENTURES LIMITED,YASHINNO,Yash Innoventures Ltd,Active,XT,10.0,INE823D01011,Diversified Commercial Services,24.08
523652,Kkalpana Plastick Limited,KKPLASTICK,Kkalpana Plastick Limited,Active,XT,10.0,INE465K01016,Plastic Products - Industrial,8.77
523660,Waterbase Limited,WATERBASE,WATERBASE LTD.,Active,B,10.0,INE054C01015,Seafood,354.57
523672,"Flex Foods Ltd.,",FLEXFO,FLEX FOODS LTD.-$,Active,X,10.0,INE954B01018,Other Agricultural Products,115.9
523676,Golkunda Diamonds & Jewellery Ltd.,GOLKUNDIA,GOLKUNDA DIAMONDS & JEWELLERY LTD.,Active,X,10.0,INE798D01015,Gems- Jewellery And Watches,71.63
